category,englishExample,englishMeaning,headword,hindiExample,hindiMeaning,kashmiriExample
N,We put a new tyre for our car.,tyre,ٹٲر,,टायर,
N,We have to change all the tyres of our car.,tyre,ٹٲر,,टायर,
Adj,The picture was ugly.,ugly,بَدصوٗرت,,कुरूप,
Adj,This is her ultimate decision.,ultimate,ٲخری,,आख़िरी,
Adv,Ultimately she had to take the decision herself.,ultimately,ٲخٕرکار,,अन्त_में,
Adj,Ultraviolet rays are not good.,ultraviolet,اَلٹراویلٹ,,पराबैंगनी,
N,I use an umbrella to protect myself from rain.,umbrella,چٔھتٕر,,छतरी/छाता,
N,The police worked under the umbrella of the Army during riots.,umbrella,نِگرٲنی,,छत्र,
Adj,Dyslexics are unable to learn to read adequately.,unable,نااہل,,असमर्थ,
Adj,The orphans seem to have an uncertain future.,uncertain,غیر یٔقیٖنی,,अनिश्चित,
N,He was anxious about the uncertainty of outcome of the meeting.,uncertainty,غیر یٔقیٖنی حالت,,अनिश्चय,
N,My uncle is going.,uncle,پیٚتٕر،مام,,अंकल,
N,His uncle arrived here yesterday.,uncle,مام،پیتٕر،پۄپھوٗ،ماسوٗ,,चाचा/मामा/फूफा/मौसा,
Adj,She lay unconscious on the floor.,unconscious,بے حٮ۪س،بے ہوش,,बेहोश,
Adj,He is unconscious of the new calamity at home.,unconscious,بے خَبَر,,अनजान,
Prep,Your book is under the table.,under,تَل کُن،تَلہٕ,,के~नीचे,
Prep,She is standing under the tree.,under,تَل,,नीचे,
Prep,"Under certain rules, you can do this work.",under,تحَت,,के~अधीन,
Prep,He is doing his doctorate under Prof.Mohan.,under,نِش,,के_नीचे/के_तले/से_कम/के_अधीन,
VT,Ram underwent medical treatment in Apollo hospital.,undergo,گُزرُن,,अनुभव_करना,
Adj,The underground shed is very dark.,underground,زَمیٖن تَلُک,,भूमि_के_नीचे_का,
Adv,The thief went underground to escape capture.,underground,ژوٗرِ پٲٹھۍ,,गुप्त,
V,The important words underlie in this paragraph.,underlie,بۄنہ ٕکَنہِ آسٕنۍ,,नीचे_पड़ा_होना,
Adj,The underlying theme was interesting.,underlying,بُنِیٲدی,,अन्दरूनी,
V,Please understand my problem.,understand,سَمجھُن,,समझ,
VTI,I can`t understand the complicated mathematical equations.,understand,سَمجھُن،فِکرِ تَرُن,,समझना,
N,He has virtually no understanding of business.,understanding,سونٛچ سَمَجھ,,समझ,
V,Who will undertake this project?,undertake,ذِمہٕ دٲری تُلٕنۍ،ذِمہٕ دٲری نِنۍ,,उत्तरदायित्व_ले,
VTI,We have undertaken a project to make the city clean.,undertake,ذِمہٕ دٲری ہیٚنۍ,,[का_]उत्तरदायित्व_लेना,
Adj,He is an underwater explorer.,underwater,آبہٕ تَلُک,,अन्तर्जलीय,
VT,Undo your neck-tie and relax!,undo,کھولٕنۍ,,खोल_डाल,
VT,You cannot undo the damage.,undo,مِٹٲوِتھ,,मिटा_देना,
Adv,She is undoubtedly very beautiful.,undoubtedly,بے شَک پٲٹھۍ،شَکہٕ وَرٲے,,निस्संदेह_रूप_से/बिना_शक_व_शुबह,
VT,The C.I.A unearthed the President`s killing.,unearth,پَتہَ لَگاوُن،نیب کَڑُن,,पता_लगाना,
Adj,She was feeling uneasy.,uneasy,بے سۄکھ,,व्याकुल,
N,Unemployment is a serious social evil.,unemployment,بے کٲری،بے روزگٲری,,बेरोजगारी/बेकारी/अनुद्योग,
Adj,The curtains opened to reveal a completely unexpected scene.,unexpected,غیر مُتَوَقع,,अनपेक्षित,
Adj,It was an unfortunate incident.,unfortunate,بَدقٔسمَت،بَد نٔصیٖب,,हतभाग्य,
N,"Despite all the unfortunates, she is solely supporting her family.",unfortunate,بَدقٕسمَتی،بَد نٔصیٖبی,,दुर्भाग्य,
Adv,"Unfortunately, he couldn`t get admission to the college of his choice.",unfortunately,بَدقٕسمٕتی سٕتۍ,,दुर्भाग्यवश,
Adj,They were  unhappy over her departure.,unhappy,ناخۄش,,अप्रसन्न,
Adj,One can see uniform tall white buildings on MG street.,uniform,ہِوِی,,एकसमान,
N,Children wear uniform in school.,uniform,وَردی,,एक_रूप_का_वस्त्र,
N,There is strength in union.,union,اِتِفاق،یَکجوت,,संगठन,
N,There is strength in union.,union,اِتِفاق،بَرابٔری,,मेल/संयोग,
Adj,She speaks Hindi with a unique accent.,unique,خاص،اَلَگ,,अनुपम/अपूर्व,
N,The dollar is the United States` unit of currency.,unit,اِکٲی,,इकाई/टुकडी,
VTI,She unites charm with a good business sense.,unite,مِلاوُن،اِکہٕ وٹہٕ کَرُن,,संयुक्त_करना,
Adj,During elections all the regional political parties formed a united front.,united,مُتَحِدٕ,,संयुक्त/मिला_हुआ/एक_किया_हुआ/एक,
N,There is strength in unity.,unity,مِلہٕ ژار،اتِحاد،یَکجوت,,एकता,
Adj,Scientific theories are universal.,universal,عالَمگیٖر,,विश्वसम्बन्धी,
N,This universe is quite big.,universe,کایِنات,,ब्रह्मांड,
N,Our universe is mysterious.,universe,کایِنات,,सृष्टि/संसार/विश्व/जगत,
N,She will do research work in the university of California.,university,یونیؤرسِٹی,,विश्वविद्यालय,
Adj,This poem has been written by an unknown author.,unknown,نامعلوٗم,,अविदित/अज्ञात,
Conj,You will fail unless you work hard.,unless,اَگَر نہٕ ، ہَرگاہ,,यदि_नहीं/जो_नहीं/बिना/जबतक_नहीं,
Conj,You will fail unless you work hard.,unless,یوٚتام نہٕ,,जबतक_नहीं,
Adj,They are very unlike.,unlike,مُختٔلِف،اَلَگ,,से_भिन्न,
Adj,His condition is unlikely to improve.,unlikely,نامُمکِن,,असम्भव,
Adj,He took an unnecessary leave today.,unnecessary,غیر ضٔروری،فٔضوٗل,,अनावश्यक/व्यर्थ,
Adj,It was an unpleasant work.,unpleasant,نا پَسنٛد،ناگَوار,,अप्रिय/नापसन्द/अरूचिकर,
VT,Can you unravel the mystery?,unravel,حَل کَرُن,,सुलझाना,
VT,Try to unravel the tangle of string.,unravel,کھولُن،مٕژراوُن,,उधेड़ना,
Prep,You will not go there untill I tell you.,until,یوٚتام,,तक,
Conj,Let`s wait until she comes.,until,یوٚتام ،یوٚتَتھ تام,,तक/जब_तक,
Conj,Let`s wait until she comes.,until,یوٚتام,,जब_तक_नहीं,
Prep,He works until 9 `o`clock.,until,تام,,तक/जब_तक,
Prep,I will not speak to him unto he apologises to me.,unto,یوٚت تانۍ,,जब तक,
Prep,We promised to be faithful unto our last breath.,unto,تانۍ، تام,,तक,
Adj,The movie had scenes of unusual beauty.,unusual,غیر معموٗلی،عٔجیٖب,,असामान्य/अनोखा,
Prep,The kids followed their mother up the stairs.,up,تام,,पर,
Adv,Lift your head up!,up,پٮ۪ٹھ کُن، ہیوٚر کُن,,ऊपर_की_ओर,
Adj,His pay has moved up.,up,بَڑُن,,ऊपर/उच्च/ऊपर_वाला,
Prep,He ran up the stairs.,up,پٮ۪ٹھ,,पर,
Prep,Look up in the sky.,up,ہیوٚر,,ऊपर,
N,The sales is on the up.,up,چَڑٲے,,चढ़ाव,
VT,He upped his offer to 1 million dollars.,up,کھالُن ، بَڑاوُن,,उठाना/चढ़ाना,
VT,It`s high time to update our thinking on women`s issues.,update,جٔدیٖد بَناوُن,,आधुनिक_बनाना,
N,The BBC brings the news updates.,update,وٕنٛکٮ۪ن تام ، وٕنیُک تام,,अभी_तक_का,
VT,We should upgrade the defence technology.,upgrade,پیٚٹھِمِس دَرجَس پٮ۪ٹھ اَنٕنۍ,,उन्नति_करना,
N,There has been a major upgrade in defence technology.,upgrade,چَڑٲے,,चढ़ाई,
VT,We should uphold the dignity of our nation.,uphold,بَرقَرار تھاوُن ،قٲیِم تھاوُن,,सम्भल,
Prep,She kept the book upon the table.,upon,پٮ۪ٹھ,,के~ऊपर,
Prep,You always depended upon me in the times of crises.,upon,بَروسہٕ,,बरोसा,
Prep,"He was so hungry, thus fell upon the bread.",upon,پٮ۪ٹھ,,पर,
Prep,The cat jumped upon the table.,upon,پٮ۪ٹھ,,के_ऊपर/ऊँचा/पर,
Prep,Could you please care to enlarge upon your said topic.,upon,وَضاحَت دِنۍ,,जानकारी देना,
Adj,They live in upper flat.,upper,پیٚٹھمِس,,ऊपरवाला,
Adj,The upper sections of a society are often unaware of the problems of the lower classes.,upper,بُلَنٛد، ہیٚرمہِ دَرجُک,,उच्चतर,
N,The leather uppers were not available with the cobbler.,upper,پیٚٹِھم حِصہٕ,,जूते_आदि_का_ऊपर_का_भाग,
Adj,It`s  an upright post.,upright,سیوٚد,,सीधा/खड़ा,
Adj,He is an upright businessman.,upright,دِیانَت دار,,धार्मिक/खरा,
VT,The war uprooted many people.,uproot,ختم گژُن,,जड_से_उखाड़_डाल,
VT,The vestiges of political democracy were soon uprooted.,uproot,مُلہٕ کَڑُن,,निर्मूल_कर,
N,His carelessness could have caused an ecological upset.,upset,خَرٲبی، دَرہَم بَرہَم,,अस्तव्यस्तता/विपर्यय/पलट,
N,This project has caused many upsets.,upset,گَڑ بَڑ ، پَریشٲنی,,घबड़ाहट/परेशानी,
Adj,I left the upstairs window open.,upstairs,ہیٚرِم,,ऊपरी,
Adv,They live upstairs.,upstairs,ہیٚرِمِس پورَس،ہیٚرِ کَنہِ,,ऊपरी_मंज़िल,
N,Bungalows do not have any upstairs.,upstairs,پیٚٹِھم پور، ہیٚرِم پور،دوٚیِم پور,,ऊपर_की_मंजिल/कोठा,
Adj,The prices of essential commodities are showing an upward trend.,upward,ہُرٮ۪ر،اِضافہٕ,,ऊपर_का,
Adj,I studied urban sociology in my college.,urban,شہری,,शहरी/नगर_का/नागरक,
V,I urged him to finish his studies.,urge,زور ترٛاوُن ،اُکساوُن,,उकसाना,
N,He has a strong urge to go to space.,urge,خٲہِش،شوق,,आवेग/प्रेरणा,
Adj,An urgent telephone call came for her.,urgent,اَہم ،ضٔروٗری,,अत्यावश्यक,
Pron,We took our pets with us for picnic.,us,اَسہِ،پانَس,,हमें/हम_को,
N,Difficult words can be remembered by usage.,usage,اِستِعمال,,इस्तेमाल,
N,That word is not in common usage anymore.,usage,رٮ۪واج ،دٔستوٗر,,व्यवहार/बर्ताव/रीति/चलन/चाल,
V,Can I use your pen?,use,اِستِعمال کَرُن,,उपयोग_कर,
N,It is of no use to me.,use,لایق,,उपयोग,
N,Computer has many uses.,use,ضٔروٗرِیات,,प्रयोग/भोग/सेवन,
N,He put his knowledge to good use.,use,کٲم ،اِستعمال,,आवश्यकता,
N,We were given the use of his boat.,use,فٲیدٕ,,लाभ/प्रयोजन,
VTI,She uses drugs rarely.,use,اِستعمال کَرُن,,प्रयोग_कर,
Adj,She gave useful information about the work.,useful,کارآمد ، مُفیٖد,,उपयोगी,
Adj,Her kitchen was full of useless gadgets.,useless,فضوٗل،بے کار، ناکار,,व्यर्थ,
Adj,It was his usual dress.,usual,عام ،دۄہ دِشُک ،روزمَرہ,,साधारण,
Adj,She grew the usual vegetables.,usual,عام,,सामान्य/साधारण/व्यावहारिक/सदा_का,
Adv,She grew the usual vegetables.,usually,دۄہ دِشِکۍ,,साधारणतयः,
Adv,Usually she was late.,usually,عموٗمَن ،ہَمیٚشہٕ پٲٹھۍ,,साधारण_रीति_से/सामान्यतः,
V,We must utilise the time properly.,utilise,اِستِعمال کَرُن,,उपयोग_कर,
N,A computer system provides utility programs to perform the tasks needed by most users.,utility,فٲیدٕ مَنٛد,,उपयोगिता/चैन/लाभ/उपयोग,
Adv,The theory was utterly confusing for me.,utterly,سَراسَر،پوٗرٕ پٲٹھۍ,,सम्पूर्ण_रूप_से,
VT,Students have to vacate the hostel.,vacate,ترٛاوُن,,छोड़ना,
N,We go on tour during our vacations.,vacation,چُھٹِیہِ,,अवकाश,
VT,To vacillate and delay decisions is not a good practice.,vacillate,بَدلُن، غیریٔقیٖنی,,निश्चय_न_कर_पाना,
N,Vacuum prevents oxidation.,vacuum,خٕلا,,शून्य_स्थान,
V,Vacuum(up) the container.,vacuum,خٲلی کَرُن,,खाली करना,
V,The death of her son has created a vaccum in her life.,vacuum,پَرٕژھیوٚٚن گَژُھن,,खालीपन होना,
Adj,The speaker was vague on the subject.,vague,دُل مُل,,अस्पष्ट,
Adv,I vaguely remember his first lecture.,vaguely,دُل مُل پٲٹھۍ,,अस्पष्ट_तरह_से,
Adj,It was a valid statement.,valid,لٲزِم,,प्रभावशाली,
Adj,The marriage was held to be valid.,valid,جٲیِز,,वैध,
N,The validity of the contract is not signed yet.,validity,مَنظوٗری,,वैधता,
N,You can see the valley from the top of the mountain.,valley,وادی,,घाटी,
Adj,Diamonds are valuable.,valuable,قۭمتی,,मूल्यवान,
N,Keep your valuables inside the locker.,valuable,قۭمتی چیٖز,,कीमती_चीज,
V,I have always valued my Supervisor`s advice.,value,مۄلہٕ ناوُن,,मोल_हो[लगा],
N,The value of the rupee has gone up.,value,مۄل,,मूल्य,
N,Youngsters have different sets of values.,value,اصوٗل،طٔریٖقہٕ,,सिद्धान्त_जिनमें_समाज_की_विशेष_आस्था_हो,
N,Find the value of `x`.,value,مۄل,,किसी_अक्षर_द्वारा_प्रदर्शित_राशि_का_मूल्य,
VT,He valued the car for rupees one lakh.,value,قۭمت کران,,मोल_लगाना,
VT,I value his friendship.,value,مۄل تھاوُن,,आदर_करना,
N,My friend bought a new van.,van,وین,,वैन,
N,The team is in the van to win.,van,برٛونٛہہ,,युद्ध_में_सेना_की_अग्रिम_पंक्ति,
N,He won the prize for the story entitled vanish.,vanish,غٲب,,लुप्त,
V,The culprits vanished from the scene.,vanish,غٲب گَژُھن,,लुप्त_होना,
N,The vapor condenses when cooled.,vapor,بَہَہ,,वाष्प,
N,The plate has vapours on it.,vapour,بَہَہ,,वाष्प,
Adj,Prices are variable in the supermarket.,variable,مُختٔلِف,,परिवर्तनशील,
N,Take `X` as a variable here.,variable,ویرِیبٕل،بَدلَن وول,,परिवर्तनशील_वस्तु,
N,Bullion rates are subject to variation.,variation,تَبدیٖلی,,विविधता,
N,The variation from spring to autumn is noticeable.,variation,فَرَق,,परिवर्तन,
Adj,Courses for the students are many and varied.,varied,مُختٔلِف,,नानारूप,
N,We all need variety in our dress.,variety,قٔسٕم وار,,अनेक_प्रकार,
N,He took the job for a variety of reasons.,variety,مُختٔلِف,,विविधता,
N,The students presented the shows in variety.,variety,قٔسٕم وار,,विविध_मनोरंजन,
N,We all need variety in our dress.,variety,قٔسٕمم,,विविधता,
N,He took the job for a variety of reasons.,variety,مُختٔلِف,,अनेक_प्रकार,
N,The students presented the shows in variety.,variety,قٔسٕم وار,,विविध_मनोरंजन,
Adj,Flowers are of various hues and colours.,various,واریاہ، مُختٔلِف,,भिन्न,
VT,Fish vary in sizes and shapes.,vary,مُختٔلِف آسٕنۍ,,तरह_तरह_का_होना,
VT,Prices of fruits vary from place to place.,vary,فَرَق آسٕنۍ,,भिन्न_होना,
VT,The artist wanted to vary the show.,vary,بَدلاوُن,,बदल_देना,
Adj,Construction is going on in a vast area.,vast,بوٚڑ,,विशाल,
N,Force is a vector quantity.,vector,وٮ۪کٹَر,,निश्चित_मात्रा_वाली_राशि,
N,The vector was positioned with army camps.,vector,وٮ۪کٹَر,,वायुमार्ग,
N,Vector is the carrier of a disease.,vector,بیمٲرۍ پھٲلاوَن وول کیوٚم,,रोगवाहक,
VTI,The truck veered off the road.,veer,رۄخ بدلُن,,दिशा_बदलना,
N,I like to eat green vegetables.,vegetable,سَبزی,,शाक_सब्ज़ी,
N,After the serious illness he is just a vegetable.,vegetable,یُس نہٕ کٕہنۍ تہِ کٲم چُھہ کَران,,मानसिक_रूप_से_निष्क्रिय,
N,Where have you passed your vehicle?,vehicle,گٲڑۍ,,गाड़ी,
N,They are using their business as a vehicle for crime.,vehicle,ذٔرِیعہ,,अभिव्यक्ति का माध्यम,
Adj,My cottage has no vehicular access.,vehicular,گاڑِ مَنٛز گَژھنٕچ وَتھ,,गाडी से जाने का रसता,
N,She had an injury in the vein.,vein,رَگ,,शिरा,
N,A vein of melancholy was noted in her song.,vein,تار،خوٗبی,,व्याप्त_गुण,
N,The king and the vidushak had discussion in a lighter vein.,vein,طٔبِیَت،لہجہٕ،مِزاز,,मनोदशा,
N,The wind blew with high velocity.,velocity,رَفتار,,वेग,
N,The velocity of the wind is terrible.,velocity,رَفتار,,वेग,
N,To climb the peak during the winter months is a tough venture.,venture,ہِمَت واجِنۍ کٲم,,साहसिक_कार्य,
VTI,The students ventured into the high-sea.,venture,ہِمَت کرٕنۍ  ،جُرت کَرٕنۍ,,साहस_करना,
N,Make sentences with the following verbs.,verb,کَراوٕتۍ,,क्रिया,
Adj,Verbal communication helps people to communicate well.,verbal,زَبٲنۍ،رَوٲنی,,मौखक,
N,The convict will be given a verdict.,verdict,فٲصلہٕ,,पंचायत_का_विचार,
N,Milton`s verses are well known.,verse,مِصرٕ,,कविता,
N,He narrated his version of the incident.,version,۔۔۔,,वृतान्त,
N,The latest version of the book is out in the market.,version,۔۔۔,,आवृत्ति,
N,The pyramid has a vertex.,vertex,کوٗن,,त्रिभुज_का_शीर्ष,
N,The mountaineers saw the vertex of the mountain.,vertex,تینٛتول,,शिखर,
Adj,This is a vertical pole.,vertical,کَھڑا،سیوٚد,,लम्बरूप,
Adv,She sang very well.,very,واریاہ,,बहुत,
Adj,The flower is very beautiful.,very,واریاہ,,बहुत[उत्तमा_सूचक],
Adj,She was sitting in the very seat.,very,تٔتھۍ,,उसी,
Adv,She sang very well.,very,واریاہ,,अत्यंत,
N,Wash the vessels after the meal.,vessel,بانہٕ,,बर्तन,
N,He is wearing a vest under a shirt.,vest,واسکَٹ، بٔنٛدۍ,,अंगरखा,
VTI,The principal vested a student leader with authority.,vest,ذِمہٕ دٲری دِنۍ,,अधिकार_प्रदान_करना,
N,Gandhiji was a veteran freedom fighter.,veteran,مٲہِر,,अनुभवी,
N,The U.N put a veto on the resolution.,veto,پابٔنٛدی,,प्रतिनिषेध,
VT,India vetoed the proposal of armament of nations.,veto,پابٔنٛدی اَنٕنۍ,,कानून_का_मसूदा_अस्वीकृत_करना,
VT,Their lies would vex anyone.,vex,شَرارَتھ کَھسُن، ژَکھ یِنۍ,,गुस्सा_करना[होना],
VT,Her failures vexed him.,vex,فِکِر مَنٛد روزُن,,चिन्तित_होना,
Prep,This flight is via Jammu.,via,ذٔرِیعہ،کِنۍ,,की~राह~से,
Prep,She went to Boston via London.,via,ذٔرِیعہ،کِنۍ,,की_राह_से,
N,Seeing movies are one of my vices.,vice,خٲمی,,व्यसन,
N,Ram held her arm in a vice like grip.,vice,۔۔۔,,शिकंजा,
Adj,Hyde was a vicious person.,vicious,لَفَنٛگہٕ,,दुराचारी,
Adj,Leopard is a vicious animal.,vicious,خوٗن خار,,उग्र,
Adj,Jane is suffering from vicious migrane.,vicious,خَطَرناک,,कष्टदायक,
N,The victim was chased by the hunter.,victim,شِکار,,शिकार,
N,He became the victim of a conspiracy.,victim,مَظلوٗم,,पीडित_व्यक्ति,
N,The victor in the game was given a trophy.,victor,زینَن وول,,विजेता,
N,He was pleased with his victory.,victory,کامِیٲبی,,विजय,
VT,They vied with one another to win the competition.,vie,مُقابلہٕ کَرُن,,स्पर्धा_करना,
N,The town came into view.,view,نَظر,,दृष्टि,
N,There is a wonderful view from the top of the hill.,view,نَظارٕ,,दृश्य,
N,He was invited for the private view of the exhibition.,view,۔۔۔,,अवलोकन,
N,What is your view on this matter?,view,راے,,दृष्टिकोण,
VT,The problem should be viewed carefully.,view,نَظَر ترٛاوٕنۍ,,दृष्टि_डालना,
VT,The crowd is eagerly waiting to view the match.,view,وٕچُھن,,देखना,
VT,I didn`t get the chance to view your new house.,view,وٕچُھن,,निरीक्षण_करना[घर_या_जायदाद,
N,"According to my view point, this job is not good for girls.",viewpoint,نَظرِیَہ,,दृश्य_जो_सुगमता_से_देखा_जा_सके,
Adj,Politicians conducted a vigorous campaign.,vigorous,زوردار,,जोरदार,
N,The boy works with a vigour.,vigour,محنَت,,शक्ति/प्रभाव,
N,There is shortage of electricity in our village.,village,گام,,गाँव,
VT,These practices violate the basic human rights.,violate,پٕھٹراوُن,,तोड़ना,
N,Violation of human rights should not be encouraged.,violation,پٕھٹرَن,,तोड़ना,
N,Children are exposed to a lot of violence on TV.,violence,تَشَدُد,,हिंसा,
Adj,Many of the commercial films are extremely violent.,violent,تَشَدُد خیز,,हिंसात्मक,
N,He plays violin in his free time.,violin,وایلَن,,सारंगी,
Adj,Most boys want to marry a virgin girl.,virgin,صاف، پاک,,कुँआरी,
Adv,I virtually waited there for two hours.,virtually,لَگ بَگ,,लगभग{वास्तव_में_नहीं},
N,Her virtues are uncountable.,virtue,صِفَت,,नैतिक_गुण,
N,Virus for common cold is highly contageous.,virus,وَےرَس,,छूत_के_रोगों_का_विष,
N,He applied for U.K visa.,visa,وِیٖزہ,,वीसा,
Adj,The moon was visible after the eclipse.,visible,نوٚن,,दृश्य,
N,Vitamin A improves vision.,vision,أچھۍ گاش,,दृष्टि,
N,The chief minister paid a visit to our University.,visit,دور,,मुलाकात,
VT,Tourists visit Taj Mahal in Agra.,visit,وٕچھنہِ گَژُھن,,देखने_जाना[आना],
N,He is a visitor.,visitor,سٲلٲنۍ,,आगन्तुक,
N,I had a stream of visitors the whole day.,visitor,سٲلٲنۍ,,भेंट_करनेवाला,
Adj,The visual images became real.,visual,۔۔۔,,दृश्य,
Adj,Her seminar was accompanied by interesting visuals.,visual,شَکلہٕ,,शैक्षिक_कार्य_में_सहायक_सामग्री,
Adj,Mahatma Gandhi played a vital role in the freedom struggle.,vital,بوٚڑ، اہَم,,महत्वपूर्ण,
Adj,She`s a vital person.,vital,زِنٛدٕ دِل,,जीवंत,
N,The music has good intonation and vitality.,vitality,۔۔۔,,स्फूर्ति,
Adj,The wall has been painted a vivid blue.,vivid,تیز,,चटकीला,
Adj,He gave a vivid description of what really happened there.,vivid,صاف,,प्रबल,
Adj,It is a piece of vocal music.,vocal,بولَن بَل,,वाचक,
N,This piece of music has Lata on vocals.,vocal,آواز,,कंठ_संगीत,
Adj,There are many vocational courses for students.,vocational,پیشاوَر,,व्यावसायक,
N,I heard a feeble voice from the house.,voice,آواز,,आवाज़,
N,The students want a voice in the decision making.,voice,راے,,विचार,
N,Change the sentence into a different voice.,voice,۔۔۔,,व्याकरणिक_क्रिया[कर्तृवाच्य/कर्मवाच्य/भाववाच्य],
N,I heard a feeble voice from the house.,voice,آواز,,आवाज,
N,The students want a voice in the decision making.,voice,راے,,विचार,
N,Change the sentence into a different voice.,voice,۔۔۔,,व्याकरणिक_क्रिया[कर्तृवाच्य/कर्मवाच्य/भाववाच्य],
VT,The protesters voiced their demands.,voice,آواز تُلٕنۍ، اِظہار کرُن,,विचार_व्यक्त_करना,
N,Many volcanoes are still active in Japan.,volcano,آتَش فِشان,,ज्वालामुखी,
N,Voltage fluctuations are common.,voltage,وولٹیج,,विद्युत_संचालन_शक्ति,
N,Read the first volume of Mahabharata.,volume,جِلٕد,,ग्रन्थ,
N,Pickles are stored in the jars of different volumes.,volume,ہجُم,,आयतन,
N,The volume of traffic is increasing day by day.,volume,مِقدار,,मात्रा,
N,The music was on full volume.,volume,آواز,,प्रबलता,
Adj,Many voluntary organisations came forward to help the needy.,voluntary,رَزاکٲری,,स्वैच्छक,
N,He is a volunteer.,volunteer,رَزاکار,,स्वयंसेवक,
V,He is a volunteer.,volunteer,رَزاکار,,अपनी_सेवाएँ_अर्पित_कर,
V,He volunteered to help the needy.,volunteer,رَزاکٲری کَرٕنۍ,,स्वेच्छा_से_काम_करना,
V,He volunteered the information.,volunteer,پانَے وَنُن,,स्वेच्छापूर्वक_कहना,
N,There were only seventeen votes in favour of the Congress.,vote,ووٹ,,मत/वोट,
VTI,He voted for the nation.,vote,ووٹ ترٛاوُن،ووٹ دیُن,,मत_देना,
N,A voter casts his vote.,voter,ووٹ ترٛاوَن وول,,मत_देने_वाला,
N,He took a vow never to drink again.,vow,قسم,,शपथ,
VTI,He vowed never to drink alcohol again.,vow,وادٕ کَرُن،قسم کھیوٚن,,वादा,
N,Languages have different vowel systems.,vowel,واویل,,स्वर,
N,This was his first voyage as a sailor.,voyage,ٲبی سَفَر,,यात्रा{जल_या_विमान},
Adj,It is a vulnerable bridge.,vulnerable,کَمزور، خَطرٕہوٚت,,भेद्य,
Adj,He is vulnerable to diseases.,vulnerable,کَمزور,,कमजोर,
N,Workers get nominal wages.,wage,موٚزوٗرۍ,,मजदूरी,
VT,He had to wage his flat to get money.,wage,کِرایہِ دیُن,,किराया_करना,
N,They travelled by a wagon from the station.,wagon,اَکہِ قٕسمٕچ گٲڑۍ,,चौ_पहिया_छकड़ा,
N,Reema was wearing a dress that was very tight at the waist.,waist,کمَر,,कमर,
VTI,He waited at the bus stop.,wait,پیارُن,,प्रतीक्षा_करना,
N,He had a long wait for the train.,wait,اِنتِظار,,प्रतीक्षा,
N,They are talking to the waiter.,waiter,بٕۂرٕ،ویٹَر,,वेटर,
VTI,Do you wake up early in the morning?,wake,نیٔندرِوۄتُھن,,जगाना,
N,His walk is not straight.,walk,چال ڈال، ترٛاہۍ,,चाल,
V,They walked for two kilometers yesterday.,walk,پَکُن,,चलना,
N,A vagabond is a good walker.,walker,پَکَن وول,,चलनेवाला,
Adj,It is a walking distance.,walking,پَکوٕنۍ,,चलता-फिरता,
N,Walking improves your health.,walking,پَکُن,,चलना,
N,Don`t lean on the wall.,wall,دٮ۪وار،دۄس,,दीवार,
VT,The waves formed a wall of water.,wall,دٮ۪وار بَناوُن,,दीवार_से_घेरना,
VI,He wanders from place to place.,wander,پھیرُن تھورُن,,घूमना,
V,I want to do this job.,want,یَژُھن,,चाह,
N,People died from want of food.,want,ضٔروٗرَت,,आवश्यकता,
VTI,They want a good library.,want,یَژُھن,,चाहना,
Adj,Rita is wanting in good manners.,wanting,ضٔروٗرت,,अपर्याप्त,
Prep,She is perhaps a little wanting in beauty.,wanting,بَغٲر,,के_सिवा,
N,The border dispute led to war between the two nations.,war,جَنٛگ,,युद्ध,
Adj,Mohan is a ward boy in the state hospital.,ward,واڑ,,निगरानी,
VT,People believe that sincere prayers ward off the evils.,ward,رٲچھۍ کَرٕنۍ،دوٗر تھاوُن,,रक्षा_करना,
N,The young boy was Gita`s ward.,ward,بَچہٕ،اَولاد,,आश्रित,
N,They are skilful in modern warfare.,warfare,جَنٛگ,,युद्ध_उपकरण,
Adj,I need some warm water.,warm,سۄکھہٕ بُل،شیٖر گَرٕم,,गर्म{सुखद},
Adj,Ram and Ravi struck a warm friendship.,warm,سَکھ,,गर्म,
VTI,Warm up the soup.,warm,وٕشُن کَرُن،وٕشنیر دیُن، وٕشناوُن,,गर्म_करना,
N,The blanket provides warmth in the cold weather.,warmth,گَرمی،وٕشنیر,,गर्मी,
VT,The teacher warned the students not to repeat the mistakes.,warn,آگاہ کَرُن,,चेतावनी_देना,
N,He got a warning for his behaviour.,warning,دَمکی,,चेतावनी,
N,The police showed the warrant to arrest the criminal.,warrant,وارَنٛٹ,,अधिकार_पत्र,
VT,He warranted the statement given by the lawyer.,warrant,زمانَت دِنۍ،ذِمہ ٕوٲری دِنۍ,,प्रमाणिक_ठहराना,
N,I saw the rabbit in a warren.,warren,خَرگوش وٲج,,खरगोशों_या_खरहों_के_पालने_का_बाड़ा,
N,The car needs a wash.,wash,صَفٲیی,,धोना,
VTI,Please wash my clothes.,wash,چَھلُن,,धोना,
N,Hang the washing on the rope.,washing,چٔھلِمٕتۍ پَلَو,,धुलाई,
Adj,Waste matter is recycled.,waste,رٔدی,,व्यर्थ,
N,This work is a waste of energy.,waste,زایہِ,,क्षय,
VT,Do not waste the food.,waste,زایہِ کَرُن,,नष्ट_करना,
N,I bought a new watch recently.,watch,گٔر,,घड़ी,
N,The doctor asked the nurse to keep a watch on the patient.,watch,نَظَر,,नज़र,
